latitude;longitude;geometry;CÓDIGO OACI;TIPO;NOME;MUNICÍPIO ATENDIDO;UF
-7,599444;-72,769444;Point;SBCZ;AERÓDROMO;CRUZEIRO DO SUL;CRUZEIRO DO SUL;AC
-21,247222;-56,452500;Point;SBDB;AERÓDROMO;BONITO;BONITO;MS
-22,178333;-51,418889;Point;SBDN;AERÓDROMO;PRESIDENTE PRUDENTE;PRESIDENTE PRUDENTE;SP
-22,200556;-54,925556;Point;SBDO;AERÓDROMO;DOURADOS;DOURADOS;MS
-3,041111;-60,050556;Point;SBEG;AERÓDROMO;EDUARDO GOMES;MANAUS;AM
-6,235278;-57,775833;Point;SBEK;AERÓDROMO;JACAREACANGA;JACAREACANGA;PA
-25,600278;-54,485000;Point;SBFI;AERÓDROMO;CATARATAS;FOZ DO IGUAÇU;PR
-27,670278;-48,552500;Point;SBFL;AERÓDROMO;HERCÍLIO LUZ;FLORIANÓPOLIS;SC
-3,854722;-32,428333;Point;SBFN;AERÓDROMO;FERNANDO DE NORONHA;FERNANDO DE NORONHA;PE
-3,775833;-38,532222;Point;SBFZ;AERÓDROMO;PINTO MARTINS;FORTALEZA;CE
-22,810000;-43,250556;Point;SBGL;AERÓDROMO;AEROPORTO INTERNACIONAL DO RIO DE JANEIRO/GALEÃO – ANTONIO CARLOS JOBIM;RIO DE JANEIRO;RJ
-10,788333;-65,281667;Point;SBGM;AERÓDROMO;GUAJARÁ-MIRIM;GUAJARÁ-MIRIM;RO
-16,629722;-49,226667;Point;SBGO;AERÓDROMO;SANTA GENOVEVA/GOIÂNIA;GOIÂNIA;GO
-23,435556;-46,473056;Point;SBGR;AERÓDROMO;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO;GUARULHOS;SP
-25,388056;-51,521667;Point;SBGU;AERÓDROMO;TANCREDO THOMAS DE FARIA;GUARAPUAVA;PR
-18,896944;-41,986111;Point;SBGV;AERÓDROMO;CORONEL ALTINO MACHADO;GOVERNADOR VALADARES;MG
-22,791667;-45,204444;Point;SBGW;AERÓDROMO;GUARATINGUETÁ;GUARATINGUETÁ;SP
-3,250833;-52,252222;Point;SBHT;AERÓDROMO;ALTAMIRA;ALTAMIRA;PA
-3,126389;-58,481667;Point;SBIC;AERÓDROMO;ITACOATIARA;ITACOATIARA;AM
-4,242222;-56,000833;Point;SBIH;AERÓDROMO;ITAITUBA;ITAITUBA;PA
-14,815000;-39,033333;Point;SBIL;AERÓDROMO;BAHIA - JORGE AMADO;ILHÉUS;BA
-19,470556;-42,488056;Point;SBIP;AERÓDROMO;USIMINAS;SANTANA DO PARAÍSO;MG
